S.No.,Item,2011-12,2012-13,2013-14,2014-15
1,"Agriculture, forestry and fishing",149468,161353,189886,217010
1.1,Crops,75876,83792,101131,116609
1.2,Livestock,30336,30843,36832,45590
1.3,Forestry and logging,38403,40972,45742,47763
1.4,Fishing and aquaculture,4853,5746,6181,7048
2,Mining and quarrying,5073,4009,12491,8588
Total,Primary,154541,165362,202376,225598
3,Manufacturing,6578,7358,8329,8479
4,"Electricity, gas, water supply & other utility services",51024,61109,101365,128365
5,Construction,89328,88507,113326,133228
Total,Secondary,146930,156974,223020,270072
6,"Trade, repair, hotels and restaurants",76482,96173,103080,114315
6.1,Trade & repair services,74230,93698,100399,111324
6.2,Hotels & restaurants,2252,2475,2681,2991
7,"Transport, storage, communication & services related to broadcasting",31917,38990,46410,52587
7.1,Railways,30,35,33,32
7.2,Road transport,21376,25853,30356,34684
7.3,Water transport,613,836,580,331
7.4,Air transport,103,191,166,144
7.5,Services incidental to transport,0,0,0,0
7.6,Storage,0,0,0,0
7.7,Communication & services related to broadcasting,9795,12075,15275,17395
8,Financial services,20053,19581,21502,23168
9,"Real estate, ownership of dwelling & professional services",41471,46544,51036,55068
10,Public administration,139286,170816,189585,206259
11,Other services,132328,156875,176398,186222
Total,Tertiary,441537,528979,588011,637619
12,TOTAL GSVA at basic prices,743008,851315,1013407,1133289
13,Taxes on Products,23226,27434,35819,43084
14,Subsidies on products,40365,42556,19889,20440
15,Gross State Domestic Product,725869,836193,1029337,1155933
16,Population ('00),11108,11345,11586,11833
17,Per Capita GSDP (Rs.),65347,73708,88840,97687
